Medication,ICD-10 Code
ABILIFY MAINTENA 400MG SUSP ER,F20.9
ABILIFY MAINTENA 400MG SUSP ER,F31.13
ABILIFY MAINTENA 400MG SUSP ER,F31.14
ABILIFY MAINTENA 400MG SUSP ER,F31.9
ACCRUFER 30 MG ORAL CAPSULE,D50.0
ACCRUFER 30 MG ORAL CAPSULE,D50.8
ACCRUFER 30 MG ORAL CAPSULE,D50.9
ACYCLOVIR 5% OINTMENT,B00.0
ACYCLOVIR 5% OINTMENT,B00.1
ACYCLOVIR 5% OINTMENT,B00.9
ACYCLOVIR 5% OINTMENT,B02.9
ADMELOG SOLOSTAR 100UNIT/ML INJECTION,E10.9
ADMELOG SOLOSTAR 100UNIT/ML INJECTION,E11.9
ADMELOG SOLOSTAR 100UNIT/ML INJECTION,E13.9
ADZENYS XR-ODT 15.7 MG ORAL TABLET EXTENDED RELEASE DISINTEGRATING,F90.0
ADZENYS XR-ODT 15.7 MG ORAL TABLET EXTENDED RELEASE DISINTEGRATING,F90.1
ADZENYS XR-ODT 15.7 MG ORAL TABLET EXTENDED RELEASE DISINTEGRATING,F90.9
AFREZZA 4 & 8 & 12UNIT POWDER,E10.9
AFREZZA 4 & 8 & 12UNIT POWDER,E11.9
AIMOVIG 140 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.909
AIRSUPRA 90-80MCG/ACTUATION AER,J45.40
AIRSUPRA 90-80MCG/ACTUATION AER,J45.50
AIRSUPRA 90-80MCG/ACTUATION AER,J45.909
AJOVY 225 MG/1.5ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.909
AJOVY 225 MG/1.5ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.919
AJOVY 225 MG/1.5ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.929
AJOVY 225 MG/1.5ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.939
AKLIEF 0.005% CRM,L70.0
AKLIEF 0.005% CRM,L70.9
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG ORAL TABLET,F90.0
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG ORAL TABLET,F90.1
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG ORAL TABLET,F90.2
ANNOVERA 0.013-0.15MG/24HR RING,Z30.015
ANNOVERA 0.013-0.15MG/24HR RING,Z30.44
ARAZLO 0.045% LOT,L70.0
ARAZLO 0.045% LOT,L70.9
AUSTEDO XR (deutetrabenazine) 30MG ER tablets,G10
AUSTEDO XR (deutetrabenazine) 30MG ER tablets,G24.01
AUVELITY 45-105 MG ORAL TABLET EXTENDED RELEASE,F32.9
