Medication,ICD-10 Code,ICD description
ABILIFY MAINTENA 400MG SUSP ER,F20.9,"F20.9 stands for Schizophrenia, unspecified."
ABILIFY MAINTENA 400MG SUSP ER,F31.13,"F31.13 stands for Bipolar I disorder, current episode mixed, moderate."
ABILIFY MAINTENA 400MG SUSP ER,F31.14,"F31.14 stands for Bipolar I disorder, current episode mixed, severe, with psychotic features."
ABILIFY MAINTENA 400MG SUSP ER,F31.9,"F31.9 stands for Bipolar affective disorder, unspecified."
ACCRUFER 30 MG ORAL CAPSULE,D50.0,D50.0 stands for Iron deficiency anemia secondary to blood loss (chronic).
ACCRUFER 30 MG ORAL CAPSULE,D50.8,D50.8 stands for Iron deficiency anemia due to blood loss (chronic).
ACCRUFER 30 MG ORAL CAPSULE,D50.9,"D50.9 stands for Iron deficiency anemia, unspecified."
ACYCLOVIR 5% OINTMENT,B00.0,"B00.0 stands for Herpes simplex [herpesvirus] infections of the lips, mouth, gums, and pharynx."
ACYCLOVIR 5% OINTMENT,B00.1,B00.1 stands for Herpes simplex virus infections of the lips.
ACYCLOVIR 5% OINTMENT,B00.9,"B00.9 stands for Herpesviral infection, unspecified site."
ACYCLOVIR 5% OINTMENT,B02.9,B02.9 stands for Zoster without complications.
ADMELOG SOLOSTAR 100UNIT/ML INJECTION,E10.9,E10.9 stands for Type 1 diabetes mellitus without complications.
ADMELOG SOLOSTAR 100UNIT/ML INJECTION,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
ADMELOG SOLOSTAR 100UNIT/ML INJECTION,E13.9,E13.9 stands for Other specified diabetes mellitus with other specified complication.
ADZENYS XR-ODT 15.7 MG ORAL TABLET EXTENDED RELEASE DISINTEGRATING,F90.0,"F90.0 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
ADZENYS XR-ODT 15.7 MG ORAL TABLET EXTENDED RELEASE DISINTEGRATING,F90.1,"F90.1 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
ADZENYS XR-ODT 15.7 MG ORAL TABLET EXTENDED RELEASE DISINTEGRATING,F90.9,"F90.9 stands for Attention-deficit hyperactivity disorder, unspecified."
